DateOf,cecha1
2010-01-0,1217
2010-01-0,550
2010-01-0,223
2010-01-0,120
2010-02-0,34
2010-02-0,30
2010-02-0,23
2010-03-0,380
2010-03-0,1155
2010-03-0,123
2010-03-0,25
2010-04-0,239
2010-04-0,190
2010-04-0,816
2010-04-0,310
2010-05-0,1134
2010-05-0,124
2010-05-0,71
2010-05-0,625
2010-05-0,624
2010-06-0,102
2010-06-0,100
2010-06-0,790
2010-06-0,1049
2010-07-0,270
2010-07-0,216
2010-07-0,83
2010-07-0,1055
2010-08-0,346
2010-08-0,800
2010-08-0,700
2010-08-0,158
2010-08-0,220
2010-09-0,761
2010-09-0,268
2010-09-0,520
2010-09-0,670
2010-10-0,84
2010-10-0,10
2010-10-0,844
2010-10-0,290
2010-10-0,250
2010-11-0,90
2010-11-0,225
2010-11-0,683
2010-11-0,40
2010-12-0,548
2010-12-0,670
2010-12-0,230
2011-01-0,2
2011-01-0,100
2011-01-0,436
2011-01-0,910
2011-01-0,291
2011-02-0,650
2011-02-0,847
2011-02-0,230
2011-02-0,1700
2011-03-0,622
2011-03-0,471
2011-03-0,35
2011-03-0,123
2011-04-0,640
2011-04-0,1065
2011-04-0,37
2011-04-0,1550
2011-05-0,130
2011-05-0,79
2011-05-0,2233
2011-05-0,90
2011-05-0,320
2011-06-0,256
2011-06-0,182
2011-06-0,690
2011-07-0,930
2011-07-0,20
2011-07-0,10
2011-07-0,506
2011-07-0,330
2011-08-0,37
2011-08-0,118
2011-08-0,873
2011-08-0,655
2011-09-0,1058
2011-09-0,476
2011-09-0,570
2011-09-0,661
2011-10-0,157
2011-10-0,830
2011-10-0,81
2011-10-0,0
2011-10-0,300
2011-11-0,81
2011-11-0,1307
2011-11-0,82
2011-11-0,115
2011-12-0,1425
2011-12-0,878
2011-12-0,367
2011-12-0,488
2012-01-0,1
2012-01-0,110
2012-01-0,720
2012-01-0,48
2012-01-0,1170
2012-02-0,452
2012-02-0,624
2012-02-0,20
2012-02-0,25
2012-03-0,80
2012-03-0,404
2012-03-0,486
2012-03-0,1450
2012-04-0,70
2012-04-0,120
2012-04-0,50
2012-04-0,140
2012-04-0,460
2012-05-0,280
2012-05-0,500
2012-05-0,500
2012-05-0,80
2012-06-0,920
2012-06-0,590
2012-06-0,224
2012-06-0,280
2012-07-0,674
2012-07-0,36
2012-07-0,50
2012-07-0,720
2012-07-0,620
2012-08-0,206
2012-08-0,200
2012-08-0,50
2012-08-0,15
2012-09-0,300
2012-09-0,328
2012-09-0,400
2012-09-0,94
2012-09-0,395
2012-10-0,370
2012-10-0,503
2012-10-0,249
2012-10-0,90
2012-11-0,30
2012-11-0,497
2012-11-0,220
2012-11-0,277
2012-12-0,110
2012-12-0,70
2012-12-0,145
2012-12-0,210
2013-01-0,25
2013-01-0,278
2013-01-0,443
2013-01-0,640
2013-02-0,60
2013-02-0,119
2013-02-0,230
2013-02-0,75
2013-03-0,44
2013-03-0,100
2013-03-0,439
2013-03-0,419
2013-03-0,200
2013-04-0,120
2013-04-0,265
2013-04-0,456
2013-04-0,520
2013-05-0,262
2013-05-0,200
2013-05-0,65
2013-05-0,310
2013-06-0,404
2013-06-0,378
2013-06-0,617
2013-06-0,1180
2013-06-0,120
2013-07-0,453
2013-07-0,912
2013-07-0,151
2013-07-0,130
2013-08-0,296
2013-08-0,20
2013-08-0,590
2013-08-0,46
2013-09-0,369
2013-09-0,464
2013-09-0,210
2013-09-0,478
2013-09-0,118
2013-10-0,280
2013-10-0,450
2013-10-0,638
2013-10-0,526
2013-11-0,67
2013-11-0,468
2013-11-0,244
2013-11-0,140
2013-12-0,270
2013-12-0,542
2013-12-0,62
2013-12-0,369
2014-01-0,4
2014-01-0,185
2014-01-0,905
2014-01-0,80
2014-02-0,651
2014-02-0,773
2014-02-0,426
2014-02-0,2
2014-03-0,327
2014-03-0,174
2014-03-0,20
2014-03-0,50
2014-03-0,220
2014-04-0,817
2014-04-0,140
2014-04-0,127
2014-04-0,225
2014-05-0,240
2014-05-0,26
2014-05-0,160
2014-05-0,485
2014-06-0,56
2014-06-0,148
2014-06-0,274
2014-06-0,68
2014-06-0,254
2014-07-0,26
2014-07-0,467
2014-07-0,48
2014-07-0,242
2014-08-0,112
2014-08-0,176
2014-08-0,20
2014-08-0,290
2014-08-0,72
2014-09-0,130
2014-09-0,513
2014-09-0,260
2014-09-0,362
2014-10-0,10
2014-10-0,576
2014-10-0,226
2014-10-0,31
2014-11-0,340
2014-11-0,62
2014-11-0,219
2014-11-0,311
2014-11-0,445
2014-12-0,382
2014-12-0,370
2014-12-0,256
2014-12-0,14
2015-01-0,14
2015-01-0,215
2015-01-0,52
2015-01-0,504
2015-02-0,244
2015-02-0,420
2015-02-0,354
2015-02-0,330
2015-03-0,71
2015-03-0,390
2015-03-0,450
2015-03-0,30
2015-03-0,155
2015-04-0,26
2015-04-0,310
2015-04-0,290
2015-04-0,221
2015-05-0,23
2015-05-0,526
2015-05-0,270
2015-05-0,10
2015-05-0,215
2015-06-0,90
2015-06-0,146
2015-06-0,271
2015-06-0,249
2015-07-0,57
2015-07-0,199
2015-07-0,471
2015-07-0,216
2015-08-0,270
2015-08-0,228
2015-08-0,107
2015-08-0,50
2015-08-0,62
2015-09-0,141
2015-09-0,528
2015-09-0,78
2015-09-0,355
2015-10-0,26
2015-10-0,230
2015-10-0,65
2015-11-0,10
2015-11-0,200
2015-11-0,80
2015-11-0,250
2015-11-0,410
2015-12-0,133
2015-12-0,238
2015-12-0,128
2015-12-0,0
2016-01-0,124
2016-01-0,2
2016-01-0,1
2016-01-0,540
2016-02-0,90
2016-02-0,300
2016-02-0,456
2016-02-0,33
2016-03-0,91
2016-03-0,250
2016-03-0,1300
2016-04-0,55
2016-04-0,30
2016-04-0,74
2016-04-0,79
2016-05-0,740
2016-05-0,530
2016-05-0,530
2016-05-0,40
2016-06-0,5
2016-06-0,730
2016-06-0,522
2016-06-0,625
2016-07-0,200
2016-07-0,657
2016-07-0,443
2016-07-0,440
2016-07-0,36
2016-08-0,137
2016-08-0,10
2016-08-0,30
2016-08-0,100
2016-09-0,215
2016-10-0,250
2016-10-0,100
2016-10-0,330
2016-10-0,122
2016-10-0,1320
2016-11-0,160
2016-11-0,367
2016-11-0,90
2016-11-0,1016
2016-12-0,100
2016-12-0,143
2016-12-0,10
2016-12-0,30
2017-01-0,40
2017-01-0,450
2017-01-0,428
2017-01-0,62
2017-02-0,500
2017-02-0,300
2017-02-0,70
2017-02-0,155
2017-03-0,1278
2017-03-0,87
2017-03-0,59
2017-03-0,10
2017-04-0,360
2017-04-0,356
2017-04-0,1133
2017-04-0,11
2017-04-0,100
2017-05-0,11
2017-05-0,636
2017-05-0,80
2017-05-0,629
2017-06-0,385
2017-06-0,936
2017-06-0,250
2017-07-0,606
2017-07-0,420
2017-07-0,780
2017-07-0,320
2017-08-0,165
2017-08-0,369
2017-08-0,30
2017-08-0,324
2017-09-0,57
2017-09-0,170
2017-09-0,210
2017-09-0,100
2017-10-0,346
2017-10-0,6
2017-10-0,168
2017-11-0,121
2017-11-0,366
2017-12-0,250
2017-12-0,274
2017-12-0,14
2017-12-0,20
2018-01-0,30
2018-01-0,100
2018-01-0,100
2018-01-0,306
2018-02-0,200
2018-02-0,320
2018-02-0,363
2018-02-0,620
2018-03-0,50
2018-03-0,350
2018-03-0,234
2018-03-0,241
2018-04-0,220
2018-04-0,50
2018-04-0,53
2018-04-0,210
2018-04-0,220
2018-05-0,300
2018-05-0,102
2018-05-0,139
2018-06-0,50
2018-06-0,440
2018-06-0,268
2018-06-0,200
2018-07-0,238
2018-07-0,120
2018-07-0,400
2018-07-0,500
2018-07-0,200
2018-08-0,250
2018-08-0,220
2018-08-0,216
2018-08-0,200
2018-09-0,230
2018-09-0,556
2018-09-0,200
2018-09-0,26
2018-09-0,230
2018-10-0,400
2018-10-0,50
2018-10-0,25
2018-11-0,2
2018-11-0,113
2018-11-0,530
2018-11-0,219
2018-12-0,300
2018-12-0,400
2018-12-0,200
2018-12-0,20
2019-01-0,20
2019-01-0,400
2019-01-0,200
2019-01-0,200
2019-02-0,100
2019-02-0,360
2019-02-0,212
2019-02-0,350
2019-03-0,200
2019-03-0,206
2019-03-0,240
2019-03-0,460
2019-04-0,240
2019-04-0,10
2019-04-0,20
2019-04-0,208
2019-05-0,186
2019-05-0,5
2019-05-0,64
2019-06-0,218
2019-06-0,200
2019-06-0,400
2019-06-0,100
2019-06-0,1000
2019-07-0,100
2019-07-0,10
2019-07-0,300
2019-07-0,355
2019-08-0,737
2019-08-0,822
2019-08-0,200
