SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,1/4/2010,977,175.86
PPR-20K,1/13/2011,200,42
PPR-20K,1/20/2010,20,3.6
PPR-20K,1/8/2010,200,36
PPR-20K,1/7/2010,20,3.6
PPR-20K,1/21/2010,40,7.2
PPR-20K,1/22/2010,0,0
PPR-20K,1/9/2010,20,3.6
PPR-20K,1/18/2010,10,1.8
PPR-20K,2/16/2010,6,1.08
PPR-20K,1/15/2010,100,18
PPR-20K,1/19/2010,100,18
PPR-20K,1/19/2010,20,3.6
PPR-20K,2/2/2010,4,0.72
PPR-20K,1/12/2010,50,9
PPR-20K,1/13/2010,400,72
PPR-20K,1/19/2010,3,0.54
PPR-20K,1/20/2010,30,5.4
PPR-20K,1/13/2010,0,0
PPR-20K,1/25/2010,20,3.6
PPR-20K,1/25/2010,100,18
PPR-20K,2/3/2010,30,5.4
PPR-20K,2/10/2010,30,5.4
PPR-20K,2/15/2010,10,1.8
PPR-20K,3/1/2010,0,0
PPR-20K,2/16/2010,1,0.18
PPR-20K,3/4/2010,50,9
PPR-20K,2/19/2010,6,1.08
PPR-20K,2/19/2010,6,1.08
PPR-20K,3/4/2010,20,3.6
PPR-20K,3/3/2010,50,9
PPR-20K,3/15/2010,0,0
PPR-20K,3/15/2010,9,1.8
PPR-20K,3/8/2010,30,5.4
PPR-20K,3/3/2010,0,0
PPR-20K,3/1/2010,60,10.8
PPR-20K,3/8/2010,5,0.9
PPR-20K,3/1/2010,0,0
PPR-20K,3/8/2010,40,7.2
PPR-20K,3/1/2010,0,0
PPR-20K,3/1/2010,0,0
PPR-20K,3/9/2010,1000,200
PPR-20K,3/19/2010,4,0.8
PPR-20K,3/2/2010,61,10.98
PPR-20K,3/2/2010,139,25.02
PPR-20K,3/10/2010,40,7.2
PPR-20K,3/15/2010,6,1.08
PPR-20K,3/15/2010,14,2.8
PPR-20K,1/4/2011,10,2.1
PPR-20K,1/4/2011,10,2.1
PPR-20K,4/1/2010,20,4
PPR-20K,3/31/2010,100,20
PPR-20K,3/11/2010,23,4.14
PPR-20K,3/11/2010,3,0.54
PPR-20K,3/11/2010,14,2.8
PPR-20K,4/7/2010,6,1.2
PPR-20K,3/16/2010,10,2
PPR-20K,3/16/2010,10,2
PPR-20K,3/22/2010,20,4
PPR-20K,4/6/2010,4,0.72
PPR-20K,3/17/2010,20,4
PPR-20K,1/4/2011,40,8.4
PPR-20K,3/26/2010,0,0
PPR-20K,4/12/2010,600,120
PPR-20K,3/18/2010,2,0.36
PPR-20K,3/18/2010,58,11.6
PPR-20K,4/20/2010,40,8
PPR-20K,4/20/2010,20,4
PPR-20K,3/26/2010,5,1
PPR-20K,4/8/2010,20,4
PPR-20K,4/20/2010,20,4
PPR-20K,4/1/2010,10,2
PPR-20K,4/1/2010,20,3.6
PPR-20K,4/9/2010,100,20
PPR-20K,4/1/2010,6,1.2
PPR-20K,4/9/2010,50,10
PPR-20K,4/9/2010,10,2
PPR-20K,4/1/2010,8,1.44
PPR-20K,4/1/2010,10,2
PPR-20K,4/2/2010,20,4
PPR-20K,4/16/2010,6,1.2
PPR-20K,4/1/2010,15,3
PPR-20K,4/14/2010,10,2
PPR-20K,3/29/2010,20,4
PPR-20K,4/14/2010,200,40
PPR-20K,3/30/2010,0,0
PPR-20K,5/4/2010,4,0.8
PPR-20K,4/30/2010,4,0.8
PPR-20K,4/30/2010,1000,190
PPR-20K,3/30/2010,20,4
PPR-20K,4/19/2010,0,0
PPR-20K,5/7/2010,40,8
PPR-20K,4/19/2010,20,4
PPR-20K,5/10/2010,40,8
PPR-20K,5/17/2010,100,20
PPR-20K,5/5/2010,40,8
PPR-20K,5/18/2010,20,3.8
PPR-20K,5/18/2010,3,0.6
PPR-20K,5/18/2010,47,8.93
PPR-20K,5/18/2010,200,38
PPR-20K,5/6/2010,40,8
PPR-20K,5/17/2010,55,11
PPR-20K,4/23/2010,30,6
PPR-20K,4/23/2010,79,15.8
PPR-20K,4/23/2010,4,0.72
PPR-20K,4/23/2010,117,23.4
PPR-20K,5/20/2010,40,7.6
PPR-20K,4/26/2010,50,10
PPR-20K,5/19/2010,60,11.4
PPR-20K,5/19/2010,50,9.5
PPR-20K,5/21/2010,50,9.5
PPR-20K,5/14/2010,4,0.8
PPR-20K,5/14/2010,20,4
PPR-20K,4/28/2010,30,6
PPR-20K,6/9/2010,30,5.4
PPR-20K,4/28/2010,50,10
PPR-20K,4/29/2010,0,0
PPR-20K,5/15/2010,7,1.4
PPR-20K,6/9/2010,20,3.8
PPR-20K,6/1/2010,2,0.38
PPR-20K,6/9/2010,30,5.7
PPR-20K,5/29/2010,6,1.14
PPR-20K,5/29/2010,600,126
PPR-20K,5/27/2010,10,1.9
PPR-20K,5/27/2010,8,1.44
PPR-20K,5/27/2010,8,1.44
PPR-20K,6/14/2010,30,5.7
PPR-20K,6/11/2010,20,3.8
PPR-20K,6/14/2010,40,7.6
PPR-20K,6/22/2010,1000,210
PPR-20K,6/15/2010,200,38
PPR-20K,6/22/2010,19,3.99
PPR-20K,6/1/2010,100,19
PPR-20K,1/5/2011,50,10.5
PPR-20K,6/17/2010,75,14.25
PPR-20K,6/17/2010,425,89.25
PPR-20K,6/23/2010,30,6.3
PPR-20K,6/17/2010,20,4.2
PPR-20K,7/2/2010,15,3.15
PPR-20K,6/18/2010,0,0
PPR-20K,7/8/2010,20,4.2
PPR-20K,7/9/2010,20,4.2
PPR-20K,7/10/2010,50,10.5
PPR-20K,7/6/2010,10,2.1
PPR-20K,7/1/2010,10,2.1
PPR-20K,7/6/2010,60,12.6
PPR-20K,7/1/2010,25,5.25
PPR-20K,7/7/2010,6,1.26
PPR-20K,6/28/2010,60,12.6
PPR-20K,7/7/2010,50,10.5
PPR-20K,6/28/2010,21,4.41
PPR-20K,6/28/2010,30,5.4
PPR-20K,6/28/2010,49,10.29
PPR-20K,7/19/2010,0,0
PPR-20K,7/19/2010,400,84
PPR-20K,8/2/2010,6,1.26
PPR-20K,7/19/2010,20,4.2
PPR-20K,7/7/2010,50,10.5
PPR-20K,7/1/2010,20,4.2
PPR-20K,7/1/2010,40,8.4
PPR-20K,7/13/2010,30,6.3
PPR-20K,7/13/2010,23,4.83
PPR-20K,8/2/2010,10,2.1
PPR-20K,7/20/2010,10,2.1
PPR-20K,7/14/2010,30,6.3
PPR-20K,8/1/2010,62,13.02
PPR-20K,8/1/2010,38,7.98
PPR-20K,8/4/2010,40,8.4
PPR-20K,8/2/2010,2,0.42
PPR-20K,7/29/2010,16,3.36
PPR-20K,7/21/2010,600,126
PPR-20K,7/30/2010,200,42
PPR-20K,7/21/2010,25,5.25
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/4/2010,2,0.42
PPR-20K,8/2/2010,600,120
PPR-20K,8/9/2010,10,2.1
PPR-20K,8/4/2010,100,21
PPR-20K,7/30/2010,30,6.3
PPR-20K,8/9/2010,600,126
PPR-20K,8/16/2010,8,1.6
PPR-20K,8/9/2010,30,6.3
PPR-20K,8/16/2010,50,10
PPR-20K,8/12/2010,20,4.2
PPR-20K,8/12/2010,16,3.36
PPR-20K,8/12/2010,24,4.8
PPR-20K,9/6/2010,34,6.8
PPR-20K,9/6/2010,66,13.86
PPR-20K,8/30/2010,600,126
PPR-20K,8/30/2010,50,10
PPR-20K,8/26/2010,200,40
PPR-20K,8/20/2010,100,20
PPR-20K,9/7/2010,8,1.68
PPR-20K,9/7/2010,100,21
PPR-20K,1/7/2011,0,0
PPR-20K,9/10/2010,28,5.88
PPR-20K,9/8/2010,2,0.36
PPR-20K,8/24/2010,20,4
PPR-20K,9/8/2010,30,6.3
PPR-20K,8/31/2010,50,10
PPR-20K,9/1/2010,14,2.8
PPR-20K,9/1/2010,27,5.4
PPR-20K,9/2/2010,20,4
PPR-20K,9/15/2010,20,4.2
PPR-20K,9/17/2010,3,0.6
PPR-20K,9/17/2010,348,73.08
PPR-20K,9/17/2010,149,31.29
PPR-20K,9/27/2010,2,0.42
PPR-20K,9/24/2010,20,4.2
PPR-20K,9/21/2010,50,10.5
PPR-20K,9/22/2010,600,126
PPR-20K,10/1/2010,40,8.4
PPR-20K,9/29/2010,20,4.2
PPR-20K,10/20/2010,20,4.2
PPR-20K,10/2/2010,2,0.42
PPR-20K,10/2/2010,20,4.2
PPR-20K,11/3/2010,40,8.4
PPR-20K,9/30/2010,0,0
