SIGMA-LI,DateOf,cecha1,cecha2
PPR-R20PN20,1/4/2010,712,854.4
PPR-R20PN20,1/4/2010,24,28.56
PPR-R20PN20,1/8/2010,200,240
PPR-R20PN20,1/6/2010,200,240
PPR-R20PN20,1/21/2010,20,24
PPR-R20PN20,1/18/2010,8,9.6
PPR-R20PN20,2/16/2010,8,9.6
PPR-R20PN20,1/15/2010,100,120
PPR-R20PN20,1/19/2010,80,96
PPR-R20PN20,2/2/2010,4,4.8
PPR-R20PN20,1/13/2010,1200,1440
PPR-R20PN20,1/13/2010,0,0
PPR-R20PN20,1/25/2010,0,0
PPR-R20PN20,1/25/2010,12,14.4
PPR-R20PN20,1/25/2010,84,100.8
PPR-R20PN20,1/25/2010,24,28.56
PPR-R20PN20,1/25/2010,92,110.4
PPR-R20PN20,1/25/2010,100,120
PPR-R20PN20,2/3/2010,4,4.8
PPR-R20PN20,2/3/2010,4,4.8
PPR-R20PN20,2/10/2010,80,96
PPR-R20PN20,2/15/2010,32,38.4
PPR-R20PN20,3/1/2010,0,0
PPR-R20PN20,2/16/2010,0,0
PPR-R20PN20,2/24/2010,20,24
PPR-R20PN20,3/4/2010,40,48
PPR-R20PN20,3/2/2010,40,48
PPR-R20PN20,3/4/2010,8,9.6
PPR-R20PN20,3/3/2010,0,0
PPR-R20PN20,3/1/2010,20,24
PPR-R20PN20,3/8/2010,8,9.6
PPR-R20PN20,3/1/2010,0,0
PPR-R20PN20,3/9/2010,60,72
PPR-R20PN20,3/1/2010,0,0
PPR-R20PN20,3/20/2010,4,4.8
PPR-R20PN20,3/19/2010,4,4.8
PPR-R20PN20,3/15/2010,20,24
PPR-R20PN20,3/11/2010,40,48
PPR-R20PN20,1/4/2011,20,28.2
PPR-R20PN20,3/16/2010,100,120
PPR-R20PN20,4/7/2010,4,4.8
PPR-R20PN20,3/16/2010,12,14.4
PPR-R20PN20,3/22/2010,32,38.4
PPR-R20PN20,4/1/2010,12,14.4
PPR-R20PN20,3/17/2010,4,4.8
PPR-R20PN20,3/17/2010,12,14.4
PPR-R20PN20,4/8/2010,100,120
PPR-R20PN20,3/26/2010,0,0
PPR-R20PN20,4/12/2010,600,774
PPR-R20PN20,4/20/2010,24,30.96
PPR-R20PN20,3/26/2010,4,4.8
PPR-R20PN20,4/8/2010,12,14.4
PPR-R20PN20,4/20/2010,4,5.16
PPR-R20PN20,4/1/2010,12,14.4
PPR-R20PN20,4/1/2010,3,3.6
PPR-R20PN20,4/9/2010,120,144
